 ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
DANZA/CIRCO,,,,,,,,,,,,,,,,,,,
ELQUI,4,,"$6,900,000",,,,,,,,,,,,,,,,
LIMARI,1,$0,$0,,,,,,,,,,,,,,,,
CHOAPA,1,$0,$0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,"$6,900,000",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
MÚSICA,,,,,,,,,,,,,,,,,,,
PURREIRA,1,"$900,000","$935,673",,,,,,,,,,,,,,,,
MARINEROS,1,"$2,499,000","$2,499,000",,,,,,,,,,,,,,,,
CHINI.PNG,1,"$1,547,000","$1,547,000",,,,,,,,,,,,,,,,
LOS TETAS,1,,"$8,330,000","700000+IVA +13 PER (ALOJM, TRASLADO ALIMENTACION ",,,,,,,,,,,,,,,
FOTHER MUCKERS,1,"$7,000,000","$7,000,000",exento,,,,,,,,,,,,,,,
ARTISTAS LOCALES ELQUI,3,$0,"$2,080,000",,,,,,,,,,,,,,,,
ARTISTA LOCALES LIMARI,1,"$800,000","$800,000",,,,,,,,,,,,,,,,
ARTISTAS LOCALES CHOAPA,1,"$900,000","$500,000",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,"$23,691,673",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
TITERES,,,,,,,,,,,,,,,,,,,
ARTISTAS LOCALES,4,,"$1,400,000",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
LITERATURA ,,,,,,,,,,,,,,,,,,,
PAGA LIBRO,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
TALLERES,,,,,,,,,,,,,,,,,,,
TALLERES,4,,"$1,151,269",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Charlas,,,,,,,,,,,,,,,,,,,
CHARLAS ,2,"$150,000","$300,000",,,,,,,,,,,,,,,,
2 DE LA ULS POR DIA,4,,,,,,,,,,,,,,,,,,
ESPACIO IMREC,,,,,,,,,,,,,,,,,,,
DISPONIBLE,,,"$3,000,000",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ESPACIO CECREA,,,,,,,,,,,,,,,,,,,
PAGA CECREA,,,,,,2,,,,,,,,,,,,,
,,,,,,50,,,,,,,,,,,,,
INTERVENCIONES,,,,,,30,,,,,,,,,,,,,
INTERNCIONES,3,"$1,200,000","$3,600,000",,,10,,,,,,,,,,,,,
,,,,,,60,,,,,,,,,,,,,
,,,"$139,100,000",,,500,,,,,,,,,,,,,
TOTAL PROGRAMACIÓN,,,"$47,919,258",,,,ALTO,MTS2,,,,,,,,,,,
STREAMING,,,"$4,000,000",COT OK,,12,6,"149,04",,,,,,,,,,,
GRÁFICA,,,"$3,500,000",,,1,4,"30,84",,,,,,,,,,,
COMUNICACIONES,,,"$3,000,000",,,,,,,,,,,,,,,,
EQUIPO,,,"$15,000,000",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
TECNICA,,,"$65,680,742",,,,,,,,,,,,,,,,
,,CONTRATACIÓN,,,,,,,,,,,,,,,,,
,,TÉCNICA PROYECTADA,"$65,680,742",,,,,,,,,,,,,,,,
,,PROGRAMACIÓN,"$47,919,258",,,,,,,,,,,,,,,,
,,TOTAL LICITACIÓN,"$113,600,000",,,,COT ,"$2,370,000","$2,820,300",#REF!,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
LO PROYECTADO,,,,,,,,,,,,,,,,,,,
,,,,,,COMPRAR ,,,,,,,,,,,,,
PAGO DE LA PROGRAMACIÓN,"$47,919,258",,,,,,,,,,,,,,,,,,
TÉCNICA,"$65,680,742",,,,,,,,,,,,,,,,,,
TODOS LOS ESCENARIO,,,,,240 m2 de mesh con ojetillos perimetrales con instalación,"$2,160,000",,,,,,,,,,,,,
LUCES / AUDIO / GENERADORES,,,,,160 m2 de mesh,"$1,440,000",,,,,,,,,,,,,
GUARDIAS,,,,,TOTAL,"$3,600,000",,,,,,,,,,,,,
BAÑOS,,,,,,,,,,,,,,,,,,,
CAMARINES,,,,,,COMPRAR ,,,,,,,,,,,,,
CATERING,,,,,,,,,,,,,,,,,,,
